league_id,team_id,league,team,total_points,overall_effectivity,overall_ineffectuality,avg_points_per_match,total_matches,total_wins,total_draws,total_loses,win_pct,draw_pct,lose_pct,total_goals,total_goals_conceded,total_goals_difference,avg_goal_per_match,avg_goal_against_per_match,home,away,total_home_wins,total_home_draws,total_home_loses,total_away_wins,total_away_draws,total_away_loses,avg_home_win,avg_home_draw,avg_home_lose,avg_away_win,avg_away_draw,avg_away_lose,prop_home_win,prop_away_win,prop_home_draw,prop_away_draw,prop_home_lose,prop_away_lose,total_home_goals,total_home_goals_conceded,total_away_goals,total_away_goals_conceded,prop_home_goals,prop_away_goals,prop_home_goals_recv,prop_away_goals_recv,avg_home_goals_per_match,avg_away_goals_per_match
1729,9825,England Premier League,Arsenal,583,79.9342105263158,20.0657894736842,2,304,170,73,61,55.9210526315789,24.0131578947368,20.0657894736842,573,320,253,1,1,152,152,97,34,21,73,39,40,57.0588235294118,46.5753424657534,34.4262295081967,42.9411764705882,53.4246575342466,65.5737704918033,63.8157894736842,48.0263157894737,22.3684210526316,25.6578947368421,13.8157894736842,26.3157894736842,306,122,267,198,53.4031413612565,46.5968586387435,38.125,61.875,1.0,1.0
13274,8611,Netherlands Eredivisie,FC Twente,503,79.0441176470588,20.9558823529412,2,272,144,71,57,52.9411764705882,26.1029411764706,20.9558823529412,509,319,190,1,1,136,136,85,32,19,59,39,38,59.0277777777778,45.0704225352113,33.3333333333333,40.9722222222222,54.9295774647887,66.6666666666667,62.5,43.3823529411765,23.5294117647059,28.6764705882353,13.9705882352941,27.9411764705882,289,139,220,180,56.7779960707269,43.2220039292731,43.5736677115987,56.4263322884013,1.0,1.0
4769,8639,France Ligue 1,LOSC Lille,533,78.6184210526316,21.3815789473684,2,304,147,92,65,48.3552631578947,30.2631578947368,21.3815789473684,450,289,161,1,0,152,152,93,39,20,54,53,45,63.265306122449,42.3913043478261,30.7692307692308,36.734693877551,57.6086956521739,69.2307692307692,61.1842105263158,35.5263157894737,25.6578947368421,34.8684210526316,13.1578947368421,29.6052631578947,270,124,180,165,60.0,40.0,42.9065743944637,57.0934256055363,1.0,1.0
1729,8456,England Premier League,Manchester City,586,77.6315789473684,22.3684210526316,2,304,175,61,68,57.5657894736842,20.0657894736842,22.3684210526316,606,307,299,1,1,152,152,113,18,21,62,43,47,64.5714285714286,29.5081967213115,30.8823529411765,35.4285714285714,70.4918032786885,69.1176470588235,74.3421052631579,40.7894736842105,11.8421052631579,28.2894736842105,13.8157894736842,30.9210526315789,365,125,241,182,60.2310231023102,39.7689768976898,40.7166123778502,59.2833876221498,1.0,1.0
10257,8686,Italy Serie A,Roma,559,77.5577557755776,22.4422442244224,2,303,162,73,68,53.4653465346535,24.0924092409241,22.4422442244224,530,359,171,1,1,151,152,97,35,19,65,38,49,59.8765432098765,47.9452054794521,27.9411764705882,40.1234567901235,52.0547945205479,72.0588235294118,64.2384105960265,42.7631578947368,23.1788079470199,25.0,12.5827814569536,32.2368421052632,299,142,231,217,56.4150943396226,43.5849056603774,39.5543175487465,60.4456824512535,1.0,1.0
10257,8564,Italy Serie A,Milan,541,76.8976897689769,23.1023102310231,2,303,154,79,70,50.8250825082508,26.0726072607261,23.1023102310231,496,312,184,1,1,151,152,92,34,25,62,45,45,59.7402597402597,43.0379746835443,35.7142857142857,40.2597402597403,56.9620253164557,64.2857142857143,60.9271523178808,40.7894736842105,22.5165562913907,29.6052631578947,16.5562913907285,29.6052631578947,271,128,225,184,54.6370967741936,45.3629032258064,41.025641025641,58.974358974359,1.0,1.0
4769,9748,France Ligue 1,Olympique Lyonnais,539,76.6447368421053,23.3552631578947,2,304,153,80,71,50.3289473684211,26.3157894736842,23.3552631578947,497,316,181,1,1,152,152,91,40,21,62,40,50,59.4771241830065,50.0,29.5774647887324,40.5228758169935,50.0,70.4225352112676,59.8684210526316,40.7894736842105,26.3157894736842,26.3157894736842,13.8157894736842,32.8947368421053,289,130,208,186,58.148893360161,41.851106639839,41.1392405063291,58.8607594936709,1.0,1.0
4769,8592,France Ligue 1,Olympique de Marseille,519,76.6447368421053,23.3552631578947,2,304,143,90,71,47.0394736842105,29.6052631578947,23.3552631578947,462,311,151,1,1,152,152,80,42,30,63,48,41,55.9440559440559,46.6666666666667,42.2535211267606,44.0559440559441,53.3333333333333,57.7464788732394,52.6315789473684,41.4473684210526,27.6315789473684,31.5789473684211,19.7368421052632,26.9736842105263,254,154,208,157,54.978354978355,45.021645021645,49.5176848874598,50.4823151125402,1.0,1.0
10257,9875,Italy Serie A,Napoli,536,76.4119601328904,23.5880398671096,2,301,153,77,71,50.8305647840532,25.5813953488372,23.5880398671096,514,325,189,1,1,150,151,95,38,17,58,39,54,62.0915032679739,49.3506493506493,23.943661971831,37.9084967320261,50.6493506493507,76.056338028169,63.3333333333333,38.4105960264901,25.3333333333333,25.8278145695364,11.3333333333333,35.7615894039735,303,136,211,189,58.9494163424124,41.0505836575876,41.8461538461538,58.1538461538462,1.0,1.0
10257,8636,Italy Serie A,Inter,535,74.9174917491749,25.0825082508251,2,303,154,73,76,50.8250825082508,24.0924092409241,25.0825082508251,496,343,153,1,1,151,152,90,37,24,64,36,52,58.4415584415584,50.6849315068493,31.5789473684211,41.5584415584416,49.3150684931507,68.4210526315789,59.6026490066225,42.1052631578947,24.5033112582781,23.6842105263158,15.8940397350993,34.2105263157895,280,163,216,180,56.4516129032258,43.5483870967742,47.5218658892128,52.4781341107872,1.0,1.0
